/Users/zacharyreid/Library/Python/3.9/lib/python/site-packages/urllib3/__init__.py:35: NotOpenSSLWarning: urllib3 v2 only supports OpenSSL 1.1.1+, currently the 'ssl' module is compiled with 'LibreSSL 2.8.3'. See: https://github.com/urllib3/urllib3/issues/3020
  warnings.warn(
2026-03-04 13:16:50,829 - __main__ - ERROR - Error processing event UFC Fight Night: Royval vs. Kape: 'Event' object has no attribute 'url'
2026-03-04 13:16:50,829 - __main__ - ERROR - Error processing event UFC 323: Dvalishvili vs. Yan 2: 'Event' object has no attribute 'url'
2026-03-04 13:16:50,829 - __main__ - ERROR - Error processing event UFC 322: Della Maddalena vs. Makhachev: 'Event' object has no attribute 'url'
2026-03-04 13:16:50,829 - __main__ - ERROR - Error processing event UFC Fight Night: Bonfim vs. Brown: 'Event' object has no attribute 'url'
2026-03-04 13:16:50,830 - __main__ - ERROR - Error processing event UFC 321: Aspinall vs. Gane: 'Event' object has no attribute 'url'
2026-03-04 13:16:50,830 - __main__ - ERROR - Error processing event UFC Fight Night: De Ridder vs. Allen: 'Event' object has no attribute 'url'
2026-03-04 13:16:50,830 - __main__ - ERROR - Error processing event UFC 320: Ankalaev vs. Pereira 2: 'Event' object has no attribute 'url'
2026-03-04 13:16:50,830 - __main__ - ERROR - Error processing event UFC Fight Night: Ulberg vs. Reyes: 'Event' object has no attribute 'url'
2026-03-04 13:16:50,830 - __main__ - ERROR - Error processing event UFC Fight Night: Imavov vs. Borralho: 'Event' object has no attribute 'url'
2026-03-04 13:16:50,830 - __main__ - ERROR - Error processing event UFC Fight Night: Walker vs. Zhang: 'Event' object has no attribute 'url'
2026-03-04 13:16:50,830 - __main__ - ERROR - Error processing event UFC 319: Du Plessis vs. Chimaev: 'Event' object has no attribute 'url'
2026-03-04 13:16:50,830 - __main__ - ERROR - Error processing event UFC Fight Night: Dolidze vs. Hernandez: 'Event' object has no attribute 'url'
2026-03-04 13:16:50,830 - __main__ - ERROR - Error processing event UFC Fight Night: Whittaker vs. De Ridder: 'Event' object has no attribute 'url'
2026-03-04 13:16:50,830 - __main__ - ERROR - Error processing event UFC Fight Night: Emmett vs. Vallejos: 'Event' object has no attribute 'url'
2026-03-04 13:16:50,830 - __main__ - ERROR - Error processing event UFC Fight Night: Evloev vs. Murphy: 'Event' object has no attribute 'url'
2026-03-04 13:16:50,830 - __main__ - ERROR - Error processing event UFC Fight Night: Moicano vs. Duncan: 'Event' object has no attribute 'url'
